Entity ID,Entity Type,Canonical Name,Country,Parent Entity ID,Status
VESSEL_00047,Vessel,Umm Al Lulu I,,COMP_ADNOC_LS,Operating
VESSEL_00048,Vessel,Al Samha,,COMP_ADNOC_LS,Operating
VESSEL_00049,Vessel,Bani Yas,,COMP_ADNOC_LS,Operating
VESSEL_00050,Vessel,Diyyinah I,,COMP_ADNOC_LS,Operating
VESSEL_00051,Vessel,Mezaira'a,,COMP_ADNOC_LS,Operating
VESSEL_00052,Vessel,Yamilah-III,,COMP_ADNOC_LS,Operating
VESSEL_00053,Vessel,Navig8 Honor,,COMP_NAVIG8,Operating
VESSEL_00054,Vessel,Navig8 Martinez,,COMP_NAVIG8,Operating
VESSEL_00055,Vessel,Navig8 Messi,,COMP_NAVIG8,Operating
VESSEL_00056,Vessel,Navig8 Montiel,,COMP_NAVIG8,Operating
VESSEL_00057,Vessel,Abu Dhabi-III,,COMP_ADNOC_LS,Operating
VESSEL_00058,Vessel,Liwa V,,COMP_ADNOC_LS,Operating
VESSEL_00059,Vessel,Al Bateen,,COMP_ADNOC_LS,Operating
VESSEL_00060,Vessel,Al Falah,,COMP_ADNOC_LS,Operating
VESSEL_00061,Vessel,Al Ruwais,,COMP_ADNOC_LS,Operating
VESSEL_00062,Vessel,Al Khtam,,COMP_ADNOC_LS,Operating
VESSEL_00063,Vessel,Yong Jiang (Gas Yongjiang),,COMP_AW_SHIPPING,Delivered / operating
VESSEL_00064,Vessel,Min Jiang,,COMP_AW_SHIPPING,Newbuild / delivery program
VESSEL_00065,Vessel,Al Bayraq,,COMP_AW_SHIPPING,Newbuild / delivery program
VESSEL_00066,Vessel,Alhosn,,COMP_AW_SHIPPING,Newbuild / delivery program
VESSEL_00067,Vessel,Al Aryam,,COMP_AW_SHIPPING,Newbuild / delivery program
VESSEL_00068,Vessel,Al Saad,,COMP_AW_SHIPPING,Newbuild / delivery program
VESSEL_00069,Vessel,Al Muzn,,COMP_AW_SHIPPING,Newbuild / delivery program
VESSEL_00070,Vessel,Al Taair,,COMP_AW_SHIPPING,Newbuild / delivery program
VESSEL_00071,Vessel,Al Sila,,COMP_AW_SHIPPING,Newbuild / delivery program
VESSEL_00072,Vessel,Janana,,COMP_ADNOC_LS,Operating
VESSEL_00073,Vessel,ADNOC L&S molten sulphur newbuild,,COMP_ADNOC_LS,On order / newbuild
VESSEL_00074,Vessel,Jarnain,,COMP_ADNOC_LS,Operating
VESSEL_00075,Vessel,Tarif,,COMP_ADNOC_LS,Operating
VESSEL_00076,Vessel,Navig8 Precision,,COMP_NAVIG8,Operating
VESSEL_00077,Vessel,Navig8 Prestige,,COMP_NAVIG8,Operating
VESSEL_00078,Vessel,Navig8 Perseverance,,COMP_NAVIG8,Operating
VESSEL_00079,Vessel,Navig8 Passion,,COMP_NAVIG8,Operating
VESSEL_00080,Vessel,Navig8 Promise,,COMP_NAVIG8,Operating
VESSEL_00081,Vessel,Navig8 Prosperity,,COMP_NAVIG8,Operating
VESSEL_00082,Vessel,Navig8 Pride LHJ,,COMP_NAVIG8,Operating
VESSEL_00083,Vessel,Navig8 Wolf,,COMP_NAVIG8,Operating
VESSEL_00084,Vessel,Navig8 Providence,,COMP_NAVIG8,Operating
VESSEL_00085,Vessel,Leicester,,COMP_ADNOC_LS,Operating
VESSEL_00086,Vessel,Hili,,COMP_ADNOC_LS,Operating
VESSEL_00087,Vessel,Zakum,,COMP_ADNOC_LS,Operating
VESSEL_00088,Vessel,Barakah,,COMP_ADNOC_LS,Operating
VESSEL_00089,Vessel,Hafeet,,COMP_ADNOC_LS,Operating
VESSEL_00090,Vessel,Habshan,,COMP_ADNOC_LS,Operating
VESSEL_00091,Vessel,Arzanah,,COMP_ADNOC_LS,Operating
VESSEL_00092,Vessel,Al Bahyah,,COMP_ADNOC_LS,Operating
