Ownership ID,Terminal ID,Company ID,Company / Partner,Relationship,Equity %,Operating Control,Status,Details,Source URL
OWN00180,TERM0174,COMP_TIL,Sparrows Point Container Terminal,Operator / portfolio relationship,,Yes,Current / see source,JV Tradepoint Atlantic + TiL,https://www.spctmd.com/
OWN00181,TERM0175,COMP_TIL,AICTPL / CT3,Operator / portfolio relationship,,Yes,Current / see source,APSEZ-TiL JV,https://www.adaniports.com/newsroom/media-releases/apsez-expands-strategic-partnership-with-msc
OWN00182,TERM0176,COMP_TIL,AECTPL,Operator / portfolio relationship,,Yes,Current / see source,49% TiL / 51% APSEZ,https://www.adaniports.com/newsroom/media-releases/apsez-expands-strategic-partnership-with-msc
OWN00183,TERM0177,COMP_TIL,Adani Vizhinjam Port Pvt Ltd,Operator / portfolio relationship,,Yes,Current / see source,Definitive agreement: 49% TiL / 51% APSEZ,https://www.adani.com/newsroom/media-releases/apsez-and-msc-group-deepen-long-term-partnership
OWN00184,TERM0178,COMP_TIL,Misurata Free Zone Port,Operator / portfolio relationship,,Yes,Current / see source,Long-term PPP; TiL transaction approved by COMESA,https://www.mfzly.com/en/post.php?id=90
OWN00185,TERM0179,COMP_TIL,Medcenter Container Terminal,Operator / portfolio relationship,,Yes,Current / see source,TiL/MSC-linked portfolio,https://tilgroup.com/about-us.html
OWN00186,TERM0180,COMP_TIL,Trieste Marine Terminal,Operator / portfolio relationship,,Yes,Current / see source,TiL-linked portfolio,https://tilgroup.com/about-us.html
OWN00187,TERM0181,COMP_TIL,Terminal XXI,Operator / portfolio relationship,,Yes,Current / see source,TiL-linked investment,https://tilgroup.com/about-us.html
OWN00188,TERM0182,COMP_TIL,Asyaport,Operator / portfolio relationship,,Yes,Current / see source,TiL-controlled through Global Terminal Ltd / local partner,https://disclosures.ifc.org/project-detail/ESRS/33999/asyaport
OWN00189,TERM0183,COMP_TIL,BTP,Operator / portfolio relationship,,Yes,Current / see source,TiL-linked JV,https://tilgroup.com/about-us.html
OWN00190,TERM0183,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00191,TERM0184,COMP_TIL,TBD,Operator / portfolio relationship,,Yes,Current / see source,TiL-linked portfolio,https://tilgroup.com/about-us.html
OWN00192,TERM0185,COMP_TIL,TBD,Operator / portfolio relationship,,Yes,Current / see source,TiL-linked portfolio,https://tilgroup.com/about-us.html
OWN00193,TERM0186,COMP_TIL,Exolgan,Operator / portfolio relationship,,Yes,Current / see source,TiL-linked portfolio,https://tilgroup.com/about-us.html
OWN00194,TERM0187,COMP_TIL,TBD,Operator / portfolio relationship,,Yes,Current / see source,TiL-linked portfolio,https://tilgroup.com/about-us.html
OWN00195,TERM0188,COMP_TIL,TBD,Operator / portfolio relationship,,Yes,Current / see source,TiL significant presence stated by company,https://tilgroup.com/about-us.html
OWN00196,TERM0189,COMP_TIL,TBD,Operator / portfolio relationship,,Yes,Current / see source,TiL significant presence stated by company,https://tilgroup.com/about-us.html
OWN00197,TERM0190,COMP_TIL,TBD,Operator / portfolio relationship,,Yes,Current / see source,TiL significant presence stated by company,https://tilgroup.com/about-us.html
OWN00198,TERM0191,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals concession/operation,https://www2.apmterminals.com/en/lazaro-cardenas/about/our-terminal
OWN00199,TERM0192,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals greenfield terminal,https://www2.apmterminals.com/en/suape/about/our-terminal
OWN00200,TERM0193,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals Bahrain operator,https://www2.apmterminals.com/en/bahrain/about/our-terminal
OWN00201,TERM0194,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals minority interest / partner terminal,https://akamai.apmterminals.com/en/pointe-noire/about/our-terminal
OWN00202,TERM0195,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,CIT partnership / APM Terminals investment,https://www2.apmterminals.com/en/cit/about/our-terminal
OWN00203,TERM0196,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00204,TERM0197,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,SCCT JV / APM Terminals investment,https://www2.apmterminals.com/en/scct/about/our-terminal
OWN00205,TERM0198,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00206,TERM0199,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals 50% + 1 under BOT with Aqaba Development Company,https://akamai.apmterminals.com/en/aqaba/about/our-terminal
OWN00207,TERM0200,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals concession; ownership increased to 100% per APM growth update,https://www2.apmterminals.com/en/monrovia/about/our-terminal
OWN00208,TERM0201,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals / Tanger Med partnership,https://www2.apmterminals.com/en/medport-tangier/about/our-terminal
OWN00209,TERM0202,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals Tangier partnership,https://akamai.apmterminals.com/en/tangier/about/our-terminal
OWN00210,TERM0203,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals concession,https://www2.apmterminals.com/en/apapa/about/our-terminal
OWN00211,TERM0204,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,West Africa Container Terminal / APM Terminals,https://www2.apmterminals.com/en/onne/about/our-terminal
OWN00212,TERM0205,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals / Port of Salalah partnership,https://www2.apmterminals.com/en/salalah/about/our-terminal
OWN00213,TERM0206,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00214,TERM0207,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00215,TERM0208,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals 49% / SIPG joint venture,https://www2.apmterminals.com/en/shanghai/about/our-terminal
OWN00216,TERM0209,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals 20% interest,https://www2.apmterminals.com/en/tianjin/about/our-terminal
